case ID,resource,activity name,resource+activity,Sitter,New
1,A,greeting(),A|greeting(),A|hello*,Hello
1,U,question(data),U|question(data),U|request,Query
1,A,list(keywords),A|list(keywords),A|offer,Request
1,U,set(keywords),U|set(keywords),U|request,Query
1,A,prompt(keywords),A|prompt(keywords),A|offer,Request
1,U,set(keywords),U|set(keywords),U|request,Query
1,A,list(keywords),A|list(keywords),A|offer,Request
1,U,set(keywords),U|set(keywords),U|request,Query
1,A,list(keywords),A|list(keywords),A|offer,Request
1,U,set(keywords),U|set(keywords),U|request,Query
1,A,bool(data),A|bool(data),A|assert,Response
1,U,success(),U|success(),U|be contented,Feedback
2,A,prompt(keywords),A|prompt(keywords),A|offer,Request
2,U,set(keywords),U|set(keywords),U|request,Query
2,A,list(keywords),A|list(keywords),A|offer,Request
2,U,confirm(),U|confirm(),U|accept,Feedback
2,A,link(dataset),A|link(dataset),A|assert,Response
2,U,set(keywords),U|set(keywords),U|request,Query
2,A,list(keywords),A|list(keywords),A|offer,Request
2,U,set(keywords),U|set(keywords),U|request,Query
2,A,list(keywords),A|list(keywords),A|offer,Request
2,U,set(keywords),U|set(keywords),U|request,Query
2,A,link(dataset),A|link(dataset),A|assert,Response
2,U,success(),U|success(),U|be contented,Feedback
3,A,greeting(),A|greeting(),A|hello*,Hello
3,U,greeting(),U|greeting(),U|hello*,Hello
3,A,greeting(),A|greeting(),A|hello*,Hello
3,U,question(data),U|question(data),U|request,Query
3,A,prompt(keywords),A|prompt(keywords),A|offer,Request
3,U,set(keywords),U|set(keywords),U|request,Query
3,A,list(keywords),A|list(keywords),A|offer,Request
3,U,set(keywords),U|set(keywords),U|request,Query
3,A,top(keywords),A|top(keywords),A|assert,Response
3,U,success(),U|success(),U|be contented,Feedback
4,U,question(data),U|question(data),U|request,Query
4,A,count(data),A|count(data),A|assert,Response
4,U,set(keywords),U|set(keywords),U|request,Query
4,A,list(keywords),A|list(keywords),A|offer,Request
4,U,set(keywords),U|set(keywords),U|request,Query
4,A,list(keywords),A|list(keywords),A|offer,Request
4,U,question(data),U|question(data),U|request,Query
4,A,list(keywords),A|list(keywords),A|offer,Request
4,U,question(data),U|question(data),U|request,Query
4,A,count(data),A|count(data),A|assert,Response
4,U,success(),U|success(),U|be contented,Feedback
5,U,question(data),U|question(data),U|request,Query
5,A,list(keywords),A|list(keywords),A|offer,Request
5,U,question(data),U|question(data),U|request,Query
5,A,list(keywords),A|list(keywords),A|offer,Request
5,U,question(data),U|question(data),U|request,Query
5,A,list(keywords),A|list(keywords),A|offer,Request
5,U,set(keywords),U|set(keywords),U|request,Query
5,A,bool(data),A|bool(data),A|assert,Response
5,U,set(keywords),U|set(keywords),U|request,Query
5,A,list(keywords),A|list(keywords),A|offer,Request
5,U,set(keywords),U|set(keywords),U|request,Query
5,A,list(keywords),A|list(keywords),A|offer,Request
5,U,success(),U|success(),U|be contented,Feedback
6,U,question(data),U|question(data),U|request,Query
6,A,list(keywords),A|list(keywords),A|offer,Request
6,U,question(data),U|question(data),U|request,Query
6,A,prompt(keywords),A|prompt(keywords),A|offer,Request
6,U,set(keywords),U|set(keywords),U|request,Query
6,A,bool(data),A|bool(data),A|assert,Response
6,U,confirm(),U|confirm(),U|accept,Feedback
6,A,list(keywords),A|list(keywords),A|offer,Request
6,U,confirm(),U|confirm(),U|accept,Feedback
6,A,list(keywords),A|list(keywords),A|offer,Request
6,U,set(keywords),U|set(keywords),U|request,Query
6,A,prompt(keywords),A|prompt(keywords),A|offer,Request
6,U,set(keywords),U|set(keywords),U|request,Query
6,A,confirm(),A|confirm(),A|promise,Response
6,U,question(data),U|question(data),U|request,Query
6,A,list(keywords),A|list(keywords),A|offer,Request
6,U,set(keywords),U|set(keywords),U|request,Query
6,A,prompt(keywords),A|prompt(keywords),A|offer,Request
6,U,confirm(),U|confirm(),U|accept,Feedback
6,A,list(keywords),A|list(keywords),A|offer,Request
6,U,reject(),U|reject(),U|reject,Feedback
6,A,prompt(keywords),A|prompt(keywords),A|offer,Request
6,U,set(keywords),U|set(keywords),U|request,Query
6,A,bool(data),A|bool(data),A|assert,Response
6,U,confirm(),U|confirm(),U|accept,Feedback
6,A,bool(data),A|bool(data),A|assert,Response
6,U,success(),U|success(),U|be contented,Feedback
6,A,success(),A|success(),A|be contented*,Response
7,U,greeting(),U|greeting(),U|hello*,Hello
7,A,greeting(),A|greeting(),A|hello*,Hello
7,U,set(keywords),U|set(keywords),U|request,Query
7,A,prompt(keywords),A|prompt(keywords),A|offer,Request
7,U,set(keywords),U|set(keywords),U|request,Query
7,A,confirm(),A|confirm(),A|promise,Response
7,U,question(data),U|question(data),U|request,Query
7,A,prompt(keywords),A|prompt(keywords),A|offer,Request
7,U,set(keywords),U|set(keywords),U|request,Query
7,A,list(keywords),A|list(keywords),A|offer,Request
7,U,confirm(),U|confirm(),U|accept,Feedback
7,A,list(keywords),A|list(keywords),A|offer,Request
7,U,success(),U|success(),U|be contented,Feedback
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,set(keywords),U|set(keywords),U|request,Query
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,set(keywords),U|set(keywords),U|request,Query
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,set(keywords),U|set(keywords),U|request,Query
8,A,bool(data),A|bool(data),A|assert,Response
8,U,set(keywords),U|set(keywords),U|request,Query
8,A,bool(data),A|bool(data),A|assert,Response
8,U,confirm(),U|confirm(),U|accept,Feedback
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,reject(),U|reject(),U|reject,Feedback
8,A,count(data),A|count(data),A|assert,Response
8,U,set(keywords),U|set(keywords),U|request,Query
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,success(),U|success(),U|be contented,Feedback
8,A,list(keywords),A|list(keywords),A|offer,Request
8,U,success(),U|success(),U|be contented,Feedback
9,A,prompt(keywords),A|prompt(keywords),A|offer,Request
9,U,greeting(),U|greeting(),U|hello*,Hello
9,A,prompt(keywords),A|prompt(keywords),A|offer,Request
9,U,question(data),U|question(data),U|request,Query
9,A,count(data),A|count(data),A|assert,Response
9,U,set(keywords),U|set(keywords),U|request,Query
9,A,list(keywords),A|list(keywords),A|offer,Request
9,U,set(keywords),U|set(keywords),U|request,Query
9,A,bool(data),A|bool(data),A|assert,Response
9,U,reject(),U|reject(),U|reject,Feedback
9,A,prompt(keywords),A|prompt(keywords),A|offer,Request
9,U,set(keywords),U|set(keywords),U|request,Query
9,A,bool(data),A|bool(data),A|assert,Response
9,U,set(keywords),U|set(keywords),U|request,Query
9,A,list(keywords),A|list(keywords),A|offer,Request
9,U,set(keywords),U|set(keywords),U|request,Query
9,A,link(dataset),A|link(dataset),A|assert,Response
10,U,question(data),U|question(data),U|request,Query
10,A,greeting(),A|greeting(),A|hello*,Hello
10,U,question(data),U|question(data),U|request,Query
10,A,prompt(keywords),A|prompt(keywords),A|offer,Request
10,U,question(data),U|question(data),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,set(keywords),U|set(keywords),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,set(keywords),U|set(keywords),U|request,Query
10,A,prompt(keywords),A|prompt(keywords),A|offer,Request
10,U,set(keywords),U|set(keywords),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,reject(),U|reject(),U|reject,Feedback
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,set(keywords),U|set(keywords),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,confirm(),U|confirm(),U|accept,Feedback
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,reject(),U|reject(),U|reject,Feedback
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,confirm(),U|confirm(),U|accept,Feedback
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,set(keywords),U|set(keywords),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,more(),U|more(),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,more(),U|more(),U|request,Query
10,A,list(keywords),A|list(keywords),A|offer,Request
10,U,confirm(),U|confirm(),U|accept,Feedback
11,U,question(data),U|question(data),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,reject(),U|reject(),U|reject,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,confirm(),U|confirm(),U|accept,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,confirm(),U|confirm(),U|accept,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,confirm(),A|confirm(),A|promise,Response
11,U,reject(),U|reject(),U|reject,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,reject(),U|reject(),U|reject,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,reject(),U|reject(),U|reject,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,confirm(),U|confirm(),U|accept,Feedback
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,more(),U|more(),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,set(keywords),U|set(keywords),U|request,Query
11,A,list(keywords),A|list(keywords),A|offer,Request
11,U,prompt(link),U|prompt(link),U|request,Query
11,A,link(dataset),A|link(dataset),A|assert,Response
12,U,greeting(),U|greeting(),U|hello*,Hello
12,A,greeting(),A|greeting(),A|hello*,Hello
12,U,set(keywords),U|set(keywords),U|request,Query
12,A,confirm(),A|confirm(),A|promise,Response
12,U,confirm(),U|confirm(),U|accept,Feedback
12,A,prompt(keywords),A|prompt(keywords),A|offer,Request
12,U,confirm(),U|confirm(),U|accept,Feedback
13,U,greeting(),U|greeting(),U|hello*,Hello
13,A,greeting(),A|greeting(),A|hello*,Hello
13,U,question(data),U|question(data),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,set(keywords),U|set(keywords),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,question(data),U|question(data),U|request,Query
13,A,prompt(keywords),A|prompt(keywords),A|offer,Request
13,U,set(keywords),U|set(keywords),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,set(keywords),U|set(keywords),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,reject(),U|reject(),U|reject,Feedback
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,confirm(),U|confirm(),U|accept,Feedback
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,reject(),U|reject(),U|reject,Feedback
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,confirm(),U|confirm(),U|accept,Feedback
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,set(keywords),U|set(keywords),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,set(keywords),U|set(keywords),U|request,Query
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,confirm(),U|confirm(),U|accept,Feedback
13,A,link(dataset),A|link(dataset),A|assert,Response
13,U,question(data),U|question(data),U|request,Query
13,A,prompt(keywords),A|prompt(keywords),A|offer,Request
13,U,confirm(),U|confirm(),U|accept,Feedback
13,A,list(keywords),A|list(keywords),A|offer,Request
13,U,success(),U|success(),U|be contented,Feedback
14,A,prompt(keywords),A|prompt(keywords),A|offer,Request
14,U,question(data),U|question(data),U|request,Query
14,A,list(keywords),A|list(keywords),A|offer,Request
14,U,set(keywords),U|set(keywords),U|request,Query
14,A,confirm(),A|confirm(),A|promise,Response
14,U,set(keywords),U|set(keywords),U|request,Query
14,A,confirm(),A|confirm(),A|promise,Response
14,U,confirm(),U|confirm(),U|accept,Feedback
14,A,confirm(),A|confirm(),A|promise,Response
14,U,confirm(),U|confirm(),U|accept,Feedback
14,A,link(dataset),A|link(dataset),A|assert,Response
14,U,success(),U|success(),U|be contented,Feedback
14,A,verify(),A|verify(),A|request*,Request
14,U,confirm(),U|confirm(),U|accept,Feedback
14,A,success(),A|success(),A|be contented*,Response
14,U,success(),U|success(),U|be contented,Feedback
14,A,success(),A|success(),A|be contented*,Response
15,U,question(data),U|question(data),U|request,Query
15,A,list(keywords),A|list(keywords),A|offer,Request
15,U,set(keywords),U|set(keywords),U|request,Query
15,A,list(keywords),A|list(keywords),A|offer,Request
15,U,confirm(),U|confirm(),U|accept,Feedback
15,A,list(keywords),A|list(keywords),A|offer,Request
15,U,set(keywords),U|set(keywords),U|request,Query
15,A,list(keywords),A|list(keywords),A|offer,Request
15,U,confirm(),U|confirm(),U|accept,Feedback
15,A,list(keywords),A|list(keywords),A|offer,Request
15,U,success(),U|success(),U|be contented,Feedback
15,A,success(),A|success(),A|be contented*,Response
16,A,greeting(),A|greeting(),A|hello*,Hello
16,U,question(data),U|question(data),U|request,Query
16,A,list(keywords),A|list(keywords),A|offer,Request
16,U,set(keywords),U|set(keywords),U|request,Query
16,A,list(keywords),A|list(keywords),A|offer,Request
16,U,question(data),U|question(data),U|request,Query
16,A,count(data),A|count(data),A|assert,Response
16,U,confirm(),U|confirm(),U|accept,Feedback
16,A,prompt(keywords),A|prompt(keywords),A|offer,Request
16,U,reject(),U|reject(),U|reject,Feedback
17,U,set(keywords),U|set(keywords),U|request,Query
17,A,confirm(),A|confirm(),A|promise,Response
17,U,set(keywords),U|set(keywords),U|request,Query
17,A,confirm(),A|confirm(),A|promise,Response
17,A,count(data),A|count(data),A|assert,Response
17,U,success(),U|success(),U|be contented,Feedback
18,A,greeting(),A|greeting(),A|hello*,Hello
18,U,question(data),U|question(data),U|request,Query
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,reject(),U|reject(),U|reject,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,reject(),U|reject(),U|reject,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,confirm(),U|confirm(),U|accept,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,set(keywords),U|set(keywords),U|request,Query
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,confirm(),U|confirm(),U|accept,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,reject(),U|reject(),U|reject,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,confirm(),U|confirm(),U|accept,Feedback
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,set(keywords),U|set(keywords),U|request,Query
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,reject(),U|reject(),U|reject,Feedback
18,A,verify(),A|verify(),A|request*,Request
18,U,verify(),U|verify(),U|request,Query
18,A,bool(data),A|bool(data),A|assert,Response
18,U,confirm(),U|confirm(),U|accept,Feedback
18,A,prompt(link),A|prompt(link),A|offer,Request
18,U,question(data),U|question(data),U|request,Query
18,A,list(keywords),A|list(keywords),A|offer,Request
18,U,set(keywords),U|set(keywords),U|request,Query
18,A,count(data),A|count(data),A|assert,Response
18,U,success(),U|success(),U|be contented,Feedback
18,A,success(),A|success(),A|be contented*,Response
19,U,greeting(),U|greeting(),U|hello*,Hello
19,A,greeting(),A|greeting(),A|hello*,Hello
19,U,question(data),U|question(data),U|request,Query
19,A,list(keywords),A|list(keywords),A|offer,Request
19,U,set(keywords),U|set(keywords),U|request,Query
19,A,top(keywords),A|top(keywords),A|assert,Response
19,U,set(keywords),U|set(keywords),U|request,Query
19,A,list(keywords),A|list(keywords),A|offer,Request
19,U,confirm(),U|confirm(),U|accept,Feedback
19,A,count(data),A|count(data),A|assert,Response
19,U,success(),U|success(),U|be contented,Feedback
19,A,success(),A|success(),A|be contented*,Response
20,A,list(keywords),A|list(keywords),A|offer,Request
20,U,set(keywords),U|set(keywords),U|request,Query
20,A,list(keywords),A|list(keywords),A|offer,Request
20,U,set(keywords),U|set(keywords),U|request,Query
20,A,prompt(keywords),A|prompt(keywords),A|offer,Request
20,U,set(keywords),U|set(keywords),U|request,Query
20,A,confirm(),A|confirm(),A|promise,Response
20,U,set(keywords),U|set(keywords),U|request,Query
20,A,count(data),A|count(data),A|assert,Response
20,U,success(),U|success(),U|be contented,Feedback
21,A,greeting(),A|greeting(),A|hello*,Hello
21,U,greeting(),U|greeting(),U|hello*,Hello
21,A,prompt(keywords),A|prompt(keywords),A|offer,Request
21,U,set(keywords),U|set(keywords),U|request,Query
21,A,count(data),A|count(data),A|assert,Response
21,U,question(data),U|question(data),U|request,Query
21,A,link(dataset),A|link(dataset),A|assert,Response
21,U,success(),U|success(),U|be contented,Feedback
22,U,question(data),U|question(data),U|request,Query
22,A,list(keywords),A|list(keywords),A|offer,Request
22,U,set(keywords),U|set(keywords),U|request,Query
22,A,top(keywords),A|top(keywords),A|assert,Response
22,U,set(keywords),U|set(keywords),U|request,Query
22,A,list(keywords),A|list(keywords),A|offer,Request
22,U,set(keywords),U|set(keywords),U|request,Query
22,A,count(data),A|count(data),A|assert,Response
