case ID,resource,activity name,resource+activity,Sitter,New,New
1,A,greeting(),A|greeting(),A|hello*,Hello,Hello
1,U,question(data),U|question(data),U|request,Query,Query
1,A,list(keywords),A|list(keywords),A|offer,Request,Request
1,U,set(keywords),U|set(keywords),U|request,Query,Query
1,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
1,U,set(keywords),U|set(keywords),U|request,Query,Query
1,A,list(keywords),A|list(keywords),A|offer,Request,Request
1,U,set(keywords),U|set(keywords),U|request,Query,Query
1,A,list(keywords),A|list(keywords),A|offer,Request,Request
1,U,set(keywords),U|set(keywords),U|request,Query,Query
1,A,bool(data),A|bool(data),A|assert,Answer,Answer
1,U,success(),U|success(),U|be contented,Feedback,Feedback
2,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
2,U,set(keywords),U|set(keywords),U|request,Query,Query
2,A,list(keywords),A|list(keywords),A|offer,Request,Request
2,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
2,A,link(dataset),A|link(dataset),A|assert,Answer,Answer
2,U,set(keywords),U|set(keywords),U|request,Query,Query
2,A,list(keywords),A|list(keywords),A|offer,Request,Request
2,U,set(keywords),U|set(keywords),U|request,Query,Query
2,A,list(keywords),A|list(keywords),A|offer,Request,Request
2,U,set(keywords),U|set(keywords),U|request,Query,Query
2,A,link(dataset),A|link(dataset),A|assert,Answer,Answer
2,U,success(),U|success(),U|be contented,Feedback,Feedback
3,A,greeting(),A|greeting(),A|hello*,Hello,Hello
3,U,greeting(),U|greeting(),U|hello*,Hello,Hello
3,A,greeting(),A|greeting(),A|hello*,Hello,Hello
3,U,question(data),U|question(data),U|request,Query,Query
3,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
3,U,set(keywords),U|set(keywords),U|request,Query,Query
3,A,list(keywords),A|list(keywords),A|offer,Request,Request
3,U,set(keywords),U|set(keywords),U|request,Query,Query
3,A,top(keywords),A|top(keywords),A|assert,Answer,Answer
3,U,success(),U|success(),U|be contented,Feedback,Feedback
4,U,question(data),U|question(data),U|request,Query,Query
4,A,count(data),A|count(data),A|assert,Answer,Answer
4,U,set(keywords),U|set(keywords),U|request,Query,Query
4,A,list(keywords),A|list(keywords),A|offer,Request,Request
4,U,set(keywords),U|set(keywords),U|request,Query,Query
4,A,list(keywords),A|list(keywords),A|offer,Request,Request
4,U,question(data),U|question(data),U|request,Query,Query
4,A,list(keywords),A|list(keywords),A|offer,Request,Request
4,U,question(data),U|question(data),U|request,Query,Query
4,A,count(data),A|count(data),A|assert,Answer,Answer
4,U,success(),U|success(),U|be contented,Feedback,Feedback
5,U,question(data),U|question(data),U|request,Query,Query
5,A,list(keywords),A|list(keywords),A|offer,Request,Request
5,U,question(data),U|question(data),U|request,Query,Query
5,A,list(keywords),A|list(keywords),A|offer,Request,Request
5,U,question(data),U|question(data),U|request,Query,Query
5,A,list(keywords),A|list(keywords),A|offer,Request,Request
5,U,set(keywords),U|set(keywords),U|request,Query,Query
5,A,bool(data),A|bool(data),A|assert,Answer,Answer
5,U,set(keywords),U|set(keywords),U|request,Query,Query
5,A,list(keywords),A|list(keywords),A|offer,Request,Request
5,U,set(keywords),U|set(keywords),U|request,Query,Query
5,A,list(keywords),A|list(keywords),A|offer,Request,Request
5,U,success(),U|success(),U|be contented,Feedback,Feedback
6,U,question(data),U|question(data),U|request,Query,Query
6,A,list(keywords),A|list(keywords),A|offer,Request,Request
6,U,question(data),U|question(data),U|request,Query,Query
6,A,prompt(keywords),A|prompt(keywords),A|offer,Request,Request
6,U,set(keywords),U|set(keywords),U|request,Query,Query
6,A,bool(data),A|bool(data),A|assert,Answer,Answer
6,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
6,A,list(keywords),A|list(keywords),A|offer,Request,Request
6,U,confirm(),U|confirm(),U|accept,Feedback,Feedback
6,A,list(keywords),A|list(keywords),A|offer,Request,Request
