Conversation ID,Role,Action,Start.time,Stop.time,Query,Query.complexity,Transcript,Notes,Query.counter
1,A_User,A:Initial information request,00:02.7,00:11.6,Where does cinnamon come from?,remember,In which countries... in which european countries... do they grow cinnamon,,1
1,B_Receiver,B:SERP without modification,00:40.9,00:51.9,Where does cinnamon come from?,remember,There is a bunch or results and the first one is Wikipedia uhm... which just talks about cinnamon but the next one talks about the top 5 uhm cinnamon producing countries,"Reads titles from first 2 search results, no modification",2
2,A_User,A:Initial information request,06:34.3,06:47.6,Airport Security,analyze,Can you type in... uhm...effective effectiveness of new security measures at airports,,1
2,B_Receiver,B:Query refinement offer,06:58.0,07:02.8,Airport Security,analyze,Australia or at the airport,,2
2,A_User,A:Intent clarification,07:02.9,07:08.2,Airport Security,analyze,put uhm... put international airports,,3
3,A_User,A:Initial information request,17:24.0,17:36.1,Outsource job India,understand,What US jobs have been outsourced to India,,1
3,B_Receiver,B:Query refinement offer,17:50.2,17:52.7,Outsource job India,understand,Can I put in united states,,2
3,A_User,A:Confirms,17:52.7,17:53.2,Outsource job India,understand,yeah,,3
4,A_User,A:Initial information request,00:14.6,01:18.6,"recycle, automobile tires",understand,Uses for old car then the query or... passenger vehicle tyres... T Y R E S or... in caps tires... T I R E S... and I wanna uhm... do a date range so the data is from a recent 12 months... so uses for old car caps or passenger vehicle or tyres T Y R E S caps or tires T I R E S and data in the last 12 months that's the query,,1
4,B_Receiver,B:SERP without modification,01:19.2,02:27.4,"recycle, automobile tires",understand,So far from the last 12 months I... first results is second hand tyres in Sydney uhmäó_ from a wreckers the second result is compare tyres from drive.com.au uhm... the third result is uhm... an other wreckers in Brisbane used tyres in Frankston is the fourth result wheel and rim profiles of passenger cars tyre size calculator uhm... then there is the car bible uhm wheel and tyre bible which looks like it is everything you need to know about wheels and tyres from cars... the next one is beaurepaires... so an other tyres sales place... uhm one used car pick the tyres uhm... what damage does a car suffer if not refually used on a forum and then the last result is Bridgestone pricing,"Reads all search results, mainly titles",2
5,A_User,A:Initial information request,10:16.5,11:02.5,per capita alcohol consumption,analyze,Please compare first word it might put compare average international uhm... and I like in inverted commas the words alcohol consumption... closing inverted commas and then in opening inverted commas per capita that is P E R capita C A P I T A closing inverted commas and that's... if you could return the searches for that please...,,1
5,B_Receiver,B:Asks to repeat,11:07.4,11:09.6,per capita alcohol consumption,analyze,sorry what... can you repeat that sentence,,2
5,A_User,A:Query repeat,11:10.3,11:29.9,per capita alcohol consumption,analyze,compare average open inverted commas oh sorry compare average international open inverted commas alcohol consumption close inverted commas open inverted commas per capita close inverted commas,,3
6,A_User,A:Initial information request,21:14.0,21:47.5,What language do they speak in New Caledonia?,remember,please search for the following phrase... what language language in inverted commas is spoken in open inverted commas new Caledonia close inverted commas... can you please check the caledonia CALEDONIA,,1
6,B_Receiver,B:SERP without modification,21:59.7,22:02.1,What language do they speak in New Caledonia?,remember,uhm... it has come up straight away with a result uhm... in google uhm... new caledonia official language French,Search stopped by user,2
7,A_User,A:Initial information request,00:01.4,00:10.8,Marine Vegetation,understand,maybe start of with type in marine vegetation and read up on what it kind of means,,1
7,B_Receiver,B:SERP with modification,00:20.2,00:35.2,Marine Vegetation,understand,ok I have an article about marine vegetation... plants that inhabit the seas and oceans... they include algae grasses mangrove trees and shrubs,,2
8,A_User,A:Initial information request,10:16.7,10:21.8,Where does cinnamon come from?,remember,maybe start of with uhm... type in... the origins of cinnamon,,1
