'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'AtMostOne(A)';'AtMostOne';'A';'';2.738;2.666;2.596
'End(A)';'End';'A';'';0.000;0.000;0.000
'Init(A)';'Init';'A';'';0.000;0.000;0.000
'Participation(A)';'Participation';'A';'';97.356;94.782;92.276
'CoExistence(A, Bye)';'CoExistence';'A';'Bye';99.689;97.053;96.962
'Succession(A, Bye)';'Succession';'A';'Bye';99.689;97.053;96.962
'AlternateSuccession(A, Bye)';'AlternateSuccession';'A';'Bye';20.096;19.565;19.546
'ChainSuccession(A, Bye)';'ChainSuccession';'A';'Bye';19.601;19.083;19.065
'RespondedExistence(A, Bye)';'RespondedExistence';'A';'Bye';99.957;97.314;97.222
'Response(A, Bye)';'Response';'A';'Bye';99.957;97.314;97.222
'AlternateResponse(A, Bye)';'AlternateResponse';'A';'Bye';11.209;10.913;10.903
'ChainResponse(A, Bye)';'ChainResponse';'A';'Bye';10.933;10.644;10.634
'NotChainSuccession(A, Bye)';'NotChainSuccession';'A';'Bye';80.399;78.273;78.200
'NotSuccession(A, Bye)';'NotSuccession';'A';'Bye';0.311;0.303;0.302
'NotCoExistence(A, Bye)';'NotCoExistence';'A';'Bye';0.311;0.303;0.302
'CoExistence(A, Feedback)';'CoExistence';'A';'Feedback';29.972;7.401;7.205
'Succession(A, Feedback)';'Succession';'A';'Feedback';8.903;2.198;2.140
'AlternateSuccession(A, Feedback)';'AlternateSuccession';'A';'Feedback';2.276;0.562;0.547
'ChainSuccession(A, Feedback)';'ChainSuccession';'A';'Feedback';1.310;0.323;0.315
'RespondedExistence(A, Feedback)';'RespondedExistence';'A';'Feedback';27.441;26.715;6.597
'Response(A, Feedback)';'Response';'A';'Feedback';7.975;7.764;1.917
'AlternateResponse(A, Feedback)';'AlternateResponse';'A';'Feedback';1.186;1.155;0.285
'ChainResponse(A, Feedback)';'ChainResponse';'A';'Feedback';0.683;0.665;0.164
'NotChainSuccession(A, Feedback)';'NotChainSuccession';'A';'Feedback';98.690;24.370;23.725
'NotSuccession(A, Feedback)';'NotSuccession';'A';'Feedback';91.097;22.495;21.900
'NotCoExistence(A, Feedback)';'NotCoExistence';'A';'Feedback';70.028;17.292;16.835
'CoExistence(A, Hello)';'CoExistence';'A';'Hello';4.922;0.211;0.206
'Succession(A, Hello)';'Succession';'A';'Hello';0.178;0.008;0.007
'AlternateSuccession(A, Hello)';'AlternateSuccession';'A';'Hello';0.043;0.002;0.002
'ChainSuccession(A, Hello)';'ChainSuccession';'A';'Hello';0.022;0.001;0.001
'RespondedExistence(A, Hello)';'RespondedExistence';'A';'Hello';4.453;4.336;0.186
'Response(A, Hello)';'Response';'A';'Hello';0.157;0.153;0.007
'AlternateResponse(A, Hello)';'AlternateResponse';'A';'Hello';0.022;0.021;0.001
'ChainResponse(A, Hello)';'ChainResponse';'A';'Hello';0.011;0.011;0.000
'NotChainSuccession(A, Hello)';'NotChainSuccession';'A';'Hello';99.978;4.296;4.182
'NotSuccession(A, Hello)';'NotSuccession';'A';'Hello';99.822;4.289;4.175
'NotCoExistence(A, Hello)';'NotCoExistence';'A';'Hello';95.078;4.085;3.977
'CoExistence(A, Query)';'CoExistence';'A';'Query';99.180;96.558;96.284
'Succession(A, Query)';'Succession';'A';'Query';63.335;61.660;61.485
'AlternateSuccession(A, Query)';'AlternateSuccession';'A';'Query';31.806;30.965;30.877
'ChainSuccession(A, Query)';'ChainSuccession';'A';'Query';31.119;30.296;30.210
'RespondedExistence(A, Query)';'RespondedExistence';'A';'Query';99.919;97.277;97.001
'Response(A, Query)';'Response';'A';'Query';73.242;71.305;71.103
'AlternateResponse(A, Query)';'AlternateResponse';'A';'Query';25.848;25.164;25.093
'ChainResponse(A, Query)';'ChainResponse';'A';'Query';25.290;24.621;24.551
'NotChainSuccession(A, Query)';'NotChainSuccession';'A';'Query';68.881;67.060;66.870
'NotSuccession(A, Query)';'NotSuccession';'A';'Query';36.665;35.696;35.595
'NotCoExistence(A, Query)';'NotCoExistence';'A';'Query';0.820;0.798;0.796
'CoExistence(A, Request)';'CoExistence';'A';'Request';98.795;96.183;96.183
'Succession(A, Request)';'Succession';'A';'Request';6.110;5.948;5.948
'AlternateSuccession(A, Request)';'AlternateSuccession';'A';'Request';1.885;1.835;1.835
'ChainSuccession(A, Request)';'ChainSuccession';'A';'Request';0.795;0.774;0.774
'RespondedExistence(A, Request)';'RespondedExistence';'A';'Request';100.000;97.356;97.356
'Response(A, Request)';'Response';'A';'Request';6.111;5.950;5.950
'AlternateResponse(A, Request)';'AlternateResponse';'A';'Request';1.246;1.213;1.213
'ChainResponse(A, Request)';'ChainResponse';'A';'Request';0.526;0.512;0.512
'NotChainSuccession(A, Request)';'NotChainSuccession';'A';'Request';99.205;96.582;96.582
'NotSuccession(A, Request)';'NotSuccession';'A';'Request';93.890;91.408;91.408
'NotCoExistence(A, Request)';'NotCoExistence';'A';'Request';1.205;1.173;1.173
'CoExistence(A, Response)';'CoExistence';'A';'Response';44.896;18.972;18.470
'Succession(A, Response)';'Succession';'A';'Response';8.283;3.500;3.407
'AlternateSuccession(A, Response)';'AlternateSuccession';'A';'Response';2.152;0.909;0.885
'ChainSuccession(A, Response)';'ChainSuccession';'A';'Response';0.707;0.299;0.291
'RespondedExistence(A, Response)';'RespondedExistence';'A';'Response';40.627;39.553;16.714
'Response(A, Response)';'Response';'A';'Response';6.631;6.456;2.728
'AlternateResponse(A, Response)';'AlternateResponse';'A';'Response';1.186;1.155;0.488
'ChainResponse(A, Response)';'ChainResponse';'A';'Response';0.390;0.380;0.160
'NotChainSuccession(A, Response)';'NotChainSuccession';'A';'Response';99.293;41.958;40.849
'NotSuccession(A, Response)';'NotSuccession';'A';'Response';91.717;38.757;37.732
'NotCoExistence(A, Response)';'NotCoExistence';'A';'Response';55.104;23.285;22.670
'Precedence(Bye, A)';'Precedence';'A';'Bye';0.358;0.357;0.348
'AlternatePrecedence(Bye, A)';'AlternatePrecedence';'A';'Bye';0.043;0.043;0.042
'ChainPrecedence(Bye, A)';'ChainPrecedence';'A';'Bye';0.038;0.038;0.037
'Precedence(Feedback, A)';'Precedence';'A';'Feedback';22.337;5.516;5.370
'AlternatePrecedence(Feedback, A)';'AlternatePrecedence';'A';'Feedback';2.969;0.733;0.714
'ChainPrecedence(Feedback, A)';'ChainPrecedence';'A';'Feedback';1.739;0.429;0.418
'Precedence(Hello, A)';'Precedence';'A';'Hello';4.388;0.189;0.184
'AlternatePrecedence(Hello, A)';'AlternatePrecedence';'A';'Hello';0.493;0.021;0.021
