'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'AtMostOne(Feedback)';'AtMostOne';'Feedback';'';30.769;30.769;30.769
'End(Feedback)';'End';'Feedback';'';65.385;65.385;65.385
'Init(Feedback)';'Init';'Feedback';'';0.000;0.000;0.000
'Participation(Feedback)';'Participation';'Feedback';'';100.000;100.000;100.000
'CoExistence(Feedback, Hello)';'CoExistence';'Feedback';'Hello';54.902;25.339;25.339
'Succession(Feedback, Hello)';'Succession';'Feedback';'Hello';0.000;0.000;0.000
'AlternateSuccession(Feedback, Hello)';'AlternateSuccession';'Feedback';'Hello';0.000;0.000;0.000
'ChainSuccession(Feedback, Hello)';'ChainSuccession';'Feedback';'Hello';0.000;0.000;0.000
'RespondedExistence(Feedback, Hello)';'RespondedExistence';'Feedback';'Hello';43.902;43.902;20.263
'Response(Feedback, Hello)';'Response';'Feedback';'Hello';0.000;0.000;0.000
'AlternateResponse(Feedback, Hello)';'AlternateResponse';'Feedback';'Hello';0.000;0.000;0.000
'ChainResponse(Feedback, Hello)';'ChainResponse';'Feedback';'Hello';0.000;0.000;0.000
'NotChainSuccession(Feedback, Hello)';'NotChainSuccession';'Feedback';'Hello';100.000;46.154;46.154
'NotSuccession(Feedback, Hello)';'NotSuccession';'Feedback';'Hello';100.000;46.154;46.154
'NotCoExistence(Feedback, Hello)';'NotCoExistence';'Feedback';'Hello';45.098;20.814;20.814
'CoExistence(Feedback, Query)';'CoExistence';'Feedback';'Query';100.000;100.000;100.000
'Succession(Feedback, Query)';'Succession';'Feedback';'Query';37.931;37.931;37.931
'AlternateSuccession(Feedback, Query)';'AlternateSuccession';'Feedback';'Query';21.675;21.675;21.675
'ChainSuccession(Feedback, Query)';'ChainSuccession';'Feedback';'Query';0.000;0.000;0.000
'RespondedExistence(Feedback, Query)';'RespondedExistence';'Feedback';'Query';100.000;100.000;100.000
'Response(Feedback, Query)';'Response';'Feedback';'Query';45.122;45.122;45.122
'AlternateResponse(Feedback, Query)';'AlternateResponse';'Feedback';'Query';26.829;26.829;26.829
'ChainResponse(Feedback, Query)';'ChainResponse';'Feedback';'Query';0.000;0.000;0.000
'NotChainSuccession(Feedback, Query)';'NotChainSuccession';'Feedback';'Query';100.000;100.000;100.000
'NotSuccession(Feedback, Query)';'NotSuccession';'Feedback';'Query';62.069;62.069;62.069
'NotCoExistence(Feedback, Query)';'NotCoExistence';'Feedback';'Query';0.000;0.000;0.000
'CoExistence(Feedback, Request)';'CoExistence';'Feedback';'Request';99.533;95.705;95.705
'Succession(Feedback, Request)';'Succession';'Feedback';'Request';57.009;54.817;54.817
'AlternateSuccession(Feedback, Request)';'AlternateSuccession';'Feedback';'Request';44.860;43.134;43.134
'ChainSuccession(Feedback, Request)';'ChainSuccession';'Feedback';'Request';41.121;39.540;39.540
'RespondedExistence(Feedback, Request)';'RespondedExistence';'Feedback';'Request';98.780;98.780;94.981
'Response(Feedback, Request)';'Response';'Feedback';'Request';60.976;60.976;58.630
'AlternateResponse(Feedback, Request)';'AlternateResponse';'Feedback';'Request';58.537;58.537;56.285
'ChainResponse(Feedback, Request)';'ChainResponse';'Feedback';'Request';53.659;53.659;51.595
'NotChainSuccession(Feedback, Request)';'NotChainSuccession';'Feedback';'Request';58.879;56.614;56.614
'NotSuccession(Feedback, Request)';'NotSuccession';'Feedback';'Request';42.991;41.337;41.337
'NotCoExistence(Feedback, Request)';'NotCoExistence';'Feedback';'Request';0.467;0.449;0.449
'CoExistence(Feedback, Response)';'CoExistence';'Feedback';'Response';96.528;92.815;92.815
'Succession(Feedback, Response)';'Succession';'Feedback';'Response';61.806;59.428;59.428
'AlternateSuccession(Feedback, Response)';'AlternateSuccession';'Feedback';'Response';41.667;40.064;40.064
'ChainSuccession(Feedback, Response)';'ChainSuccession';'Feedback';'Response';29.167;28.045;28.045
'RespondedExistence(Feedback, Response)';'RespondedExistence';'Feedback';'Response';93.902;93.902;90.291
'Response(Feedback, Response)';'Response';'Feedback';'Response';68.293;68.293;65.666
'AlternateResponse(Feedback, Response)';'AlternateResponse';'Feedback';'Response';36.585;36.585;35.178
'ChainResponse(Feedback, Response)';'ChainResponse';'Feedback';'Response';25.610;25.610;24.625
'NotChainSuccession(Feedback, Response)';'NotChainSuccession';'Feedback';'Response';70.833;68.109;68.109
'NotSuccession(Feedback, Response)';'NotSuccession';'Feedback';'Response';38.194;36.725;36.725
'NotCoExistence(Feedback, Response)';'NotCoExistence';'Feedback';'Response';3.472;3.339;3.339
'Precedence(Hello, Feedback)';'Precedence';'Feedback';'Hello';43.902;20.263;20.263
'AlternatePrecedence(Hello, Feedback)';'AlternatePrecedence';'Feedback';'Hello';14.634;6.754;6.754
'ChainPrecedence(Hello, Feedback)';'ChainPrecedence';'Feedback';'Hello';0.000;0.000;0.000
'Precedence(Query, Feedback)';'Precedence';'Feedback';'Query';100.000;100.000;100.000
'AlternatePrecedence(Query, Feedback)';'AlternatePrecedence';'Feedback';'Query';56.098;56.098;56.098
'ChainPrecedence(Query, Feedback)';'ChainPrecedence';'Feedback';'Query';0.000;0.000;0.000
'Precedence(Request, Feedback)';'Precedence';'Feedback';'Request';96.341;92.636;92.636
